State,Action,Reward
LowTraffic,Green,10
LowTraffic,Red,-1
MediumTraffic,Green,5
MediumTraffic,Red,2
HighTraffic,Green,-10
HighTraffic,Red,8
LowTraffic,Green,9
LowTraffic,Red,-2
MediumTraffic,Green,6
MediumTraffic,Red,1
HighTraffic,Green,-9
HighTraffic,Red,9
LowTraffic,Green,8
LowTraffic,Red,-1
MediumTraffic,Green,5
MediumTraffic,Red,3
HighTraffic,Green,-8
HighTraffic,Red,7
LowTraffic,Green,10
LowTraffic,Red,-3
MediumTraffic,Green,4
MediumTraffic,Red,2
HighTraffic,Green,-10
HighTraffic,Red,8
LowTraffic,Green,9
LowTraffic,Red,-2
MediumTraffic,Green,6
MediumTraffic,Red,1
HighTraffic,Green,-9
HighTraffic,Red,9
